Title,DOI,relevance_score,is_data_available,is_model_used,is_dataset_public,dataset_link,citation_count,disease_focus,location_focus,keywords,models,discussion_recommendation
"Abandonment, Ecological Assembly and Public Health Risks in Counter-Urbanizing Cities",10.3390/su8050491,7.0,,,no,not mentioned,35.0,zoonotic vector-borne diseases,global,"['abandonment', 'public health risks', 'zoonotic vector-borne diseases']",[],"Yes, this paper should be included as it explores the implications of human mobility changes due to urban abandonment on public health risks, specifically focusing on vector-borne diseases, which is at the core of understanding mobility and infectious disease dynamics."
Vector-borne epidemics driven by human mobility,10.1103/PhysRevResearch.2.013312,,,,,,,,,,,
Disease risks associated with the translocation of wildlife,10.20506/rst.29.2.1980,6.0,,,no,not mentioned,96.0,not specified,global,"['wildlife translocation', 'disease risk', 'conservation']",[],"No, this paper should not be included because it primarily focuses on wildlife translocation and its impact on disease risks rather than human mobility and its direct influence on the spread of infectious diseases among human populations."
Yellow fever impact on brown howler monkeys (Alouatta guariba clamitans) in Argentina: a metamodelling approach based on population viability analysis and epidemiological dynamics,10.1590/0074-02760150075,6.0,,,no,not mentioned,38.0,yellow fever,northeastern Argentina,"['yellow fever', 'population dynamics', 'modeling tools']","['Vortex', 'Outbreak']","No, this paper should not be included because it focuses primarily on the population dynamics of non-human primates rather than human mobility's impact on infectious diseases. Although it involves modeling infectious diseases, the connection to human mobility is not directly addressed."
Planetary healthy publics after COVID-19,,,,,,,,,,,,
Unique form of propriospinal myoclonus as a possible complication of an enteropathogenic toxin,10.1002/mds.10453,,,,,,,,,,,
Altered Spatial and Temporal Gait Parameters in Mice Infected with Ross River Virus,10.1128/mSphere.00659-21,,,,,,,,,,,
The Impact of Speech and Movement on the Interaction with a Mobile Hand Disinfection Robot,10.1145/3568294.3580109,3.0,,,no,not mentioned,0.0,not specified,university entrance hall,"['hand disinfection', 'robot interaction', 'user engagement']",[],"No, this paper should not be included as its primary focus is on the interaction with a hand disinfection robot rather than the broader implications of human mobility on infectious diseases. While the concept of hand disinfection relates indirectly to infectious disease control, the study's specific concentration on the effectiveness of different modalities to attract users to a disinfection robot does not align closely with the general topic of human mobility impacts on disease spread."
Risk Mapping for Avian Influenza: a Social-Ecological Problem,,8.0,,,no,not mentioned,12.0,avian influenza,Vietnamese markets,"['avian influenza', 'risk mapping', 'social-ecological systems']",[],"Yes, this paper should be included because it addresses the complex interplay between human mobility, animal production, ecosystem changes, and the risk of zoonotic diseases like avian influenza, focusing on system properties and uncertainties in disease mapping."
Disasters collide at the intersection of extreme weather and infectious diseases,10.1111/ele.14188,,,,,,,,,,,
"Population structure of the Chagas disease vector, Triatoma infestans, at the urban-rural interface",10.1111/mec.12471,8.0,,,no,not mentioned,17.0,Chagas disease,"Arequipa, Peru","['human mobility', 'Chagas disease', 'urban dispersal']",[],"Yes, this paper should be included because it addresses the role of human mobility in the spread of the Chagas disease vector within an urban context, which is central to discussions on human mobility and infectious diseases."
"Biogenesis, Biologic Function and Clinical Potential of Exosomes in Different Diseases",10.3390/app10134428,3.0,,,no,not mentioned,14.0,not specified,global,"['exosomes', 'therapeutic agents', 'intercellular communication']",[],"No, this paper should not be included because it does not directly address the role of human mobility in the spread of infectious diseases or utilize specific modeling relevant to human mobility."
Specificity of animal health in the tropics: internationally important infectious diseases of Aftrica,,6.0,,,no,not mentioned,4.0,"contagious bovine pleuropneumonia, peste des petits ruminants, human and animal trypanosomoses, Rift Valley fever",Africa,"['animal health', 'vector-borne diseases', 'livestock trade']",[],"No, this paper should not be included as it primarily focuses on animal health and veterinary services in Africa, rather than human mobility's impact on human infectious diseases."
EFFECTS OF DISPERSAL ASYMMETRY ON DISEASE SPREAD\ast,10.1137/24M1648776,8.0,,,no,not mentioned,0.0,not specified,global,"['human movement', 'disease spread', 'dispersal asymmetry']",['two-patch susceptible-infected-susceptible model'],"Yes, this paper should be included as it provides a significant insight into the effects of human mobility on infectious disease dynamics through the lens of mathematical modeling, specifically focusing on how dispersal asymmetry affects disease persistence and prevalence."
Dirofilariosis in humans and animals: Two faces of one disease,10.5604/01.3001.0013.0842,6.0,,,no,not mentioned,0.0,dirofilariosis,Poland,"['dirofilariosis', 'zoonosis', 'human mobility']",[],"No, this paper should not be included because it primarily discusses the parasitic zoonosis dirofilariosis and its impacts on humans due to close interactions with animals and changing climates, but it lacks a focus on the broader implications of human mobility patterns affecting the spread of infectious diseases globally."
Dengue fever is not just urban or rural: Reframing its spatial categorization.,10.1016/j.socscimed.2024.117384,,,,,,,,,,,
Mathematical analysis of the dynamics of a fractional-order tuberculosis epidemic in a patchy environment under the influence of re-infection,10.1002/mma.9532,8.0,,,no,not mentioned,7.0,tuberculosis,not specified,"['human mobility', 'tuberculosis', 'fractional-order model']","['two-patch model', 'fractional differential equations']","Yes, this paper should be included because it explores the impact of human mobility on the spread of tuberculosis using a mathematical model. This topic is highly relevant to discussions about how human mobility influences infectious diseases."
A Genetic-Algorithm-Based Dynamic Transmission of Data for Communicable Disease in IoMT Environment,10.1109/JIOT.2023.3288614,4.0,,,no,not mentioned,8.0,communicable infectious diseases,global,"['IoMT', 'genetic algorithm', 'communicable diseases']",['genetic algorithm'],"No, this paper should not be included because it focuses primarily on technical solutions for data transmission within the Internet of Medical Things rather than on the direct effects of human mobility on infectious disease transmission. While it addresses aspects relevant to infectious diseases, the core emphasis is different from the specific intersection of human mobility and infectious disease transmission."
"Research note: Climate change, peri-urban space and emerging infectious disease",10.1016/j.landurbplan.2021.104298,8.0,,,no,not mentioned,11.0,emerging infectious diseases (EID),Malawi,"['peri-urbanization', 'emerging infectious diseases', 'climate change']",['causal loop diagram'],"Yes, this paper should be included as it explores important aspects of human mobility, specifically how displacement into peri-urban areas due to climate change affects the transmission dynamics of zoonotic diseases which has a direct implication on emerging infectious disease risk management."
Multi-season analysis reveals the spatial structure of disease spread,10.1016/j.physa.2020.124425,,,,,,,,,,,
Global traffic and disease vector dispersal,10.1073/pnas.0508391103,9.0,,,yes,not mentioned,398.0,"arboviruses, malaria",global,"['global traffic', 'disease vector', 'Aedes albopictus']",['human-environment framework'],"Yes, this paper should be included as it provides a comprehensive analysis of how global human mobility through air and sea traffic facilitates the spread of disease vectors like mosquitoes across new geographies. The focus on historically and potentially future spread patterns of major disease vectors underlines its importance in understanding and predicting disease dynamics influenced by human movement."
Advances and challenges in automated malaria diagnosis using digital microscopy imaging with artificial intelligence tools: A review,10.3389/fmicb.2022.1006659,3.0,,,no,not mentioned,17.0,malaria,global,"['malaria diagnosis', 'digital microscopy', 'artificial intelligence']",['Convolutional Neural Networks'],"No, this paper should not be included in a discussion specifically about human mobility and its effects on infectious diseases because it focuses primarily on technological advances in malaria diagnosis rather than the effects of human mobility on malaria transmission. The discussion of mobile technology does not directly connect to mobility patterns influencing disease spread."
The Ecology of Emerging Infectious Diseases in Migratory Birds: An Assessment of the Role of Climate Change and Priorities for Future Research,10.1007/s10393-012-0750-1,7.0,,,no,not mentioned,101.0,avian pathogens,global,"['climate change', 'avian pathogens', 'migratory birds']",[],"Yes, this paper should be included as it provides valuable insights into how climatic factors and human activities like mobility influence the spread of diseases from migratory birds to humans, thus emphasizing the ecological dimensions of infectious diseases."
Considering the palaeoepidemiological implications of socioeconomic and environmental change in Southeast Asia,10.1016/j.ara.2017.05.003,,,,,,,,,,,
Evidence for regular ongoing introductions of mosquito disease vectors into the Galapagos Islands,10.1098/rspb.2009.0998,8.0,,,no,not mentioned,76.0,"avian malaria, West Nile fever",Galapagos Islands,"['mosquito vector', 'genetic analysis', 'inter-island transport']","['genetic population structure', 'admixture analysis']","Yes, this paper should be included as it provides specific insights into how human-assisted transport of mosquitoes via airplanes and boats contributes to the spread of infectious diseases across and between the islands, which is crucial for understanding the dynamics of disease vectors in relation to human mobility."
Simulating SARS: Small-world epidemiological modeling and public health policy assessments,,,,,,,,,,,,
Enhancing fine-grained intra-urban dengue forecasting by integrating spatial interactions of human movements between urban regions,10.1371/journal.pntd.0008924,9.0,,,no,not mentioned,11.0,dengue,"Guangzhou, China","['dengue forecasting', 'human mobility', 'spatial interactions']","['Node2Vec', 'SVM', 'LASSO', 'ANN']","Yes, this paper should be included because it provides a detailed case study of dengue forecasting at the intra-urban level, integrating human mobility data, which is essential for understanding and modeling infectious disease spread within dense urban areas."
Reverse Zoonotic Disease Transmission (Zooanthroponosis): A Systematic Review of Seldom-Documented Human Biological Threats to Animals,10.1371/journal.pone.0089055,5.0,,,no,not mentioned,165.0,"zoonotic diseases (e.g., methicillin-resistant Staphylococcus aureus, influenza A virus)",global,"['reverse zoonoses', 'pathogen transmission', 'human-to-animal disease']",[],"No, this paper should not be included in a discussion paper about human mobility and infectious diseases as it primarily focuses on reverse zoonoses rather than human mobility's direct impact on infectious diseases spread to humans."
The impact of human and vector distributions on the spatial prevalence of malaria in sub-Saharan Africa,10.1016/j.jtbi.2016.08.031,,,,,,,,,,,
The Effects of Vector Movement and Distribution in a Mathematical Model of Dengue Transmission,10.1371/journal.pone.0076044,8.0,,,no,not mentioned,20.0,dengue,not specified,"['dengue transmission', 'mathematical modeling', 'vector movement']",['individual-based model'],"Yes, this paper should be included because it provides significant insight into the role of vector movement and distribution in dengue transmission, which is a crucial aspect of understanding the dynamics of vector-borne diseases in relation to human mobility."
Unifying Viral Genetics and Human Transportation Data to Predict the Global Transmission Dynamics of Human Influenza H3N2,10.1371/journal.ppat.1003932,10.0,,,no,not mentioned,271.0,"human influenza H3N2, H1N1",global,"['human mobility', 'viral genetics', 'phylogeographic method']",['phylogeographic approach'],"Yes, this paper should be included because it utilizes a novel approach to integrate human mobility data with viral genetic analysis to predict the spread of influenza globally, which is highly relevant to the subject of human mobility and infectious diseases."
Hot topic: Avian influenza subtype H5N1 in US dairy-A preliminary dairy foods perspective,,7.0,,,no,not mentioned,0.0,avian influenza H5N1,Texas and neighboring states,"['avian influenza', 'dairy cattle', 'public health risk']",[],"Yes, this paper should be included because it provides a novel perspective on the transmission of avian influenza via dairy products and human movement, even though it does not use specific mobility or infectious disease models."
Belowground herbivory in red pine stands initiates a cascade that increases abundance of Lyme disease vectors,10.1016/j.foreco.2013.03.017,6.0,,,no,not mentioned,9.0,Lyme disease,"Wisconsin, USA","['blacklegged ticks', 'Lyme disease vectors', 'forest management']",[],"No, this paper should not be included because it primarily focuses on ecological factors and forest management impacting Lyme disease vector populations rather than human mobility effects on infectious diseases."
Organism migration in soils: Should we be so comfortable with diagnosing ancient infectious diseases?,10.1002/oa.2855,6.0,,,no,not mentioned,1.0,tuberculosis,not specified,"['ancient DNA sequencing', 'soil contamination', 'pathogenic movement']",[],"No, this paper should not be included because although it discusses infectious diseases, it focuses on postmortem contamination and the movement of microbes in soil related to archaeological studies, rather than live human mobility impacting disease spread."
Molecular evolutionary signatures reveal the role of host ecological dynamics in viral disease emergence and spread,10.1098/rstb.2012.0194,8.0,,,no,not mentioned,5.0,rabies,global,"['RNA viruses', 'ecological dynamics', 'phylogeography']",['phylogenetic model'],"Yes, this paper should be included because it explores the impact of host movement on the phylogenetic structure of pathogens using rabies virus as an example, which is relevant to understanding how human mobility can affect the spread and evolution of infectious diseases."
Member Perceptions of the One Health Initiative at a Zoological Institution,10.3389/fvets.2018.00022,,,,,,,,,,,
Ebola in the Eastern Democratic Republic of Congo: One Health approach to infectious disease control,10.1016/j.onehlt.2019.100117,,,,,,,,,,,
In vivo expressed biologics for infectious disease prophylaxis: rapid delivery of DNA-based antiviral antibodies,10.1080/22221751.2020.1787108,,,,,,,,,,,
Integrating animal movements with phylogeography to model the spread of PRRSV in the USA,10.1093/ve/veab060,8.0,,,no,not provided,15.0,PRRSV,USA,"['animal movements', 'phylogeography', 'PRRSV']","['Bayesian phylodynamic framework', 'BEAST', 'generalized linear model']","Yes, this paper should be included as it offers valuable insights on how animal mobility affects the spatial diffusion of infectious diseases, particularly the PRRSV in swine, which can be valuable for understanding similar mechanisms in human diseases."
TRAVEL FREQUENCY AND INFECTIOUS DISEASES,10.1137/18M1211957,,,,,,,,,,,
"How social structures, space, and behaviors shape the spread of infectious diseases using chikungunya as a case study",10.1073/pnas.1611391113,8.0,,,no,not mentioned,74.0,chikungunya,rural community in Bangladesh,"['chikungunya', 'Bayesian data augmentation', 'transmission probability']",['Bayesian data augmentation'],"Yes, this paper should be included as it provides a detailed case study on the spread of chikungunya in a specific location, utilizing advanced modeling techniques to analyze human mobility's effect on disease transmission."
Global holiday datasets for understanding seasonal human mobility and population dynamics,10.1038/s41597-022-01120-z,,,,,,,,,,,
Parents' Refusal to Vaccinate Their Children: An Increasing Social Phenomenon Which Threatens Public Health,10.1016/j.sbspro.2014.08.165,3.0,,,no,not mentioned,12.0,not specified,global,"['anti-vaccination', 'public health', 'immunization safety']",[],"No, this paper should not be included as it primarily focuses on the social phenomenon of vaccination hesitancy and does not explore the effects of human mobility on the transmission of infectious diseases."
Integrating rapid risk mapping and mobile phone call record data for strategic malaria elimination planning,10.1186/1475-2875-13-52,9.0,,,no,not mentioned,117.0,malaria,Namibia,"['malaria elimination', 'mobile phone data', 'risk mapping']",['risk maps built on satellite imagery'],"Yes, this paper should be included because it presents a detailed examination of how human mobility, analyzed through mobile phone data, influences malaria transmission patterns and elimination strategies in Namibia."
"Mobility evaluation by GPS tracking in a rural, low-income population in Cambodia",10.1371/journal.pone.0266460,8.0,,,no,not mentioned,2.0,malaria,Cambodia,"['GPS tracking', 'malaria', 'mobility patterns']",[],"Yes, this paper should be included as it investigates the effects of human mobility using GPS tracking on malaria transmission in a specific high-risk population, which is directly relevant to the study of infectious diseases influenced by mobility."
A model of population dynamics with complex household structure and mobility: implications for transmission and control of communicable diseases,10.7717/peerj.10203,9.0,,,no,not mentioned,3.0,not specified,remote Australian Aboriginal community,"['household structure', 'communicable diseases', 'infectious disease outbreak']",['individual-based model'],"Yes, this paper should be included because it provides a significant analysis on how varying human mobility and household structures within specific communities affect the dynamics of infectious disease outbreaks, especially in settings with fluid dwelling occupancy. These insights are crucial for understanding and managing disease spread in similar sociodemographic contexts."
One Health or ... some health?,,4.0,,,no,not mentioned,8.0,not specified,global,"['One Health', 'public health', 'interdisciplinary communications']",[],"No, this paper should not be included because it primarily discusses the conceptual framework of 'One Health' and does not focus specifically on human mobility impacts on infectious diseases, nor does it mention any models or datasets related to such studies."
Mining contacts from spatio-temporal trajectories,10.1016/j.aiopen.2024.10.002,8.0,,,no,not mentioned,0.0,not specified,global,"['contact mining', 'spatio-temporal trajectories', 'infectious disease situation']",[],"Yes, this paper should be included because it focuses on the application of contact mining in spatio-temporal trajectories which is highly relevant to the study of human mobility's impact on the spread of infectious diseases, though it does not focus on a specific disease."
Impact of Alien Mammals on Human Health,,,,,,,,,,,,
A New Era of Epidemiology: Digital Epidemiology for Investigating the COVID-19 Outbreak in China,10.2196/21685,9.0,,,no,not mentioned,4.0,COVID-19,China,"['digital epidemiology', 'COVID-19', 'human mobility']",['spatiotemporal data analysis'],"Yes, this paper should be included as it provides valuable insights into the use of digital epidemiology and human mobility data to track and respond to COVID-19 outbreaks, which is highly relevant to the discussion on human mobility and infectious diseases."
"Functional connectivity of the white-footed mouse in Southern Quebec, Canada",10.1007/s10980-017-0559-y,6.0,,,no,not provided,9.0,Lyme disease,"Southern Quebec, Canada","['Lyme disease', 'white-footed mouse', 'functional connectivity']","['Individual-Based Model', 'pattern-orientated modelling']","Yes, this paper should be included because it explores the relationship between the movement of a key animal reservoir host and the spread of an infectious disease, which is crucial in understanding how human alteration of environments affects disease dynamics."
Analysis of cholera epidemics with bacterial growth and spatial movement,10.1080/17513758.2014.974696,,,,,,,,,,,
Livestock Network Analysis for Rhodesiense Human African Trypanosomiasis Control in Uganda,10.3389/fvets.2021.611132,8.0,,,no,not mentioned,3.0,Rhodesiense Human African Trypanosomiasis (rHAT),Uganda,"['cattle trade network', 'rHAT', 'disease control interventions']","['network analysis', 'SIR compartmental model']","Yes, this paper should be included because it offers valuable insights into the dynamics of rHAT through livestock mobility, a key aspect of human mobility. The study's use of network and SIR models provides a robust framework for understanding and controlling the disease spread, which is crucial in the context of infectious disease management."
A theoretical single-parameter model for urbanisation to study infectious disease spread and interventions,10.1371/journal.pcbi.1006879,9.0,,,no,not mentioned,6.0,not specified,synthetic country,"['urbanisation', 'infectious disease spread', 'vaccination strategies']",['metapopulation model'],"Yes, this paper should be included because it provides a detailed analysis on the impact of urbanisation on disease spread using a theoretical model. The study's insights into the effectiveness of different prevention measures based on population density provide valuable information for policy and health planning in urban and rural settings."
From morphology of human body to reshaping a morphology of the society: heritage in the field of pathology of infectious diseases of Wilhelm Ebstein and work of councilman Sigismund Asch. A story how to counteract epidemics and to transform feudal system into civil democracy,10.47162/RJME.65.2.24,,,,,,,,,,,
Natural Human Mobility Patterns and Spatial Spread of Infectious Diseases,10.1103/PhysRevX.1.011001,9.0,,,no,not mentioned,256.0,not specified,global,"['human mobility', 'spatial epidemics', 'metapopulation networks']",['metapopulation network model'],"Yes, this paper should be included because it explores dynamic features of models that consider human mobility as a crucial factor in the spatial spread of infectious diseases, providing notable insights valuable for the topic."
Assessing the risks associated with the use of antimicrobial agents in aquaculture,,4.0,,,no,not mentioned,2.0,not specified,global,"['antimicrobial agents', 'aquaculture', 'risk analysis']",[],"No, this paper should not be included because it primarily focuses on antimicrobial use in aquaculture and its potential to influence human therapies rather than directly exploring the impact of human mobility on infectious diseases."
Endogenous retroviruses and TDP-43 proteinopathy form a sustaining feedback driving intercellular spread of Drosophila neurodegeneration,10.1038/s41467-023-36649-z,1.0,,,no,not mentioned,16.0,"ALS, FTD",not specified,"['neurodegeneration', 'TDP-43 proteinopathy', 'endogenous retroviruses']",[],"No, this paper should not be included because it does not address human mobility or infectious diseases in direct relation to human populations or epidemiological models."
Megafauna decline have reduced pathogen dispersal which may have increased emergent infectious diseases,10.1111/ecog.05209,7.0,,,no,not mentioned,14.0,zoonotic diseases,global,"['megafauna extinction', 'pathogen dispersal', 'zoonotic diseases']",['individual-based model'],"Yes, this paper should be included because it explores an interesting aspect of historical human mobility (through the decline in megafauna) and its impact on the dispersal of infectious diseases, providing a novel perspective that adds breadth to the discussion on human mobility and infectious diseases."
EBOLA OUTBREAKS AND INTERNATIONAL TRAVEL RESTRICTIONS: CASE STUDIES OF CENTRAL AND WEST AFRICA REGIONS,10.1142/S0218339020400070,8.0,,,no,not mentioned,5.0,Ebola,Central and West Africa,"['Ebola outbreaks', 'international travel restrictions', 'mathematical models']","['single-patch Ebola model', '3-patch model']","Yes, this paper should be included as it provides a focused analysis on the impact of human mobility and travel restrictions on the spread of Ebola in specific regions, using detailed mathematical models."
Neuropathology of Naturally Occurring Trypanosoma evansi Infection of Horses,10.1354/vp.46-2-251,2.0,,,no,not mentioned,57.0,Trypanosoma evansi infection,not specified,"['neuropathology', 'Trypanosoma evansi', 'horses']",[],"No, this paper should not be included because it primarily focuses on the pathology of Trypanosoma evansi infection in horses, with no direct relation to human mobility or its effects on infectious diseases."
(African Swine Fever: An Emerging Disease Threatening Pig Farms in The World),10.14334/wartazoa.v30i1.2479,,,,,,,,,,,
Major emerging vector-borne zoonotic diseases of public health importance in Canada,10.1038/emi.2015.33,7.0,,,no,not mentioned,49.0,"vector-borne diseases (e.g., Lyme disease, West Nile virus)",Canada,"['vector-borne diseases', 'public health', 'Canada']",[],"Yes, this paper should be included because it discusses the impact of human mobility on the establishment and spread of vector-borne diseases in Canada, although it does not directly model mobility."
"On the interplay of regional mobility, social connectedness and the spread of COVID-19 in Germany",10.1111/rssa.12753,9.0,,,no,not mentioned,12.0,COVID-19,Germany,"['human mobility', 'social connectivity', 'COVID-19']",[],"Yes, this paper should be included as it provides a detailed analysis on how regional mobility and social connectivity impact the spread of COVID-19 in a specific country, using relevant data over a specific period. The relevance to human mobility and infectious diseases is direct and highly pertinent."
The role of climate variability and change in the transmission dynamics and geographic distribution of dengue,10.1258/ebm.2011.010402,,,,,,,,,,,
Detection and Spatial Correlation Analysis of Infectious Diseases Using Wireless Body Area Network Under Imperfect Wireless Channel,10.1089/big.2021.0187,8.0,,,no,not mentioned,7.0,COVID-19,global,"['WBAN', 'COVID-19', 'deep learning']",['deep learning-based detection scheme'],"Yes, this paper should be included as it involves the application of human body sensor mobility and deep learning to monitor COVID-19, relevant to discussions of human mobility and infectious diseases."
The role of global trade and transport network topology in the human-mediated dispersal of alien species,10.1111/ele.12397,3.0,,,no,not mentioned,184.0,not specified,global,"['global trade', 'transport networks', 'alien species']",[],"No, this paper should not be included because it focuses on the spread of alien species via global trade and transport networks, rather than on infectious diseases in humans. The relevance to human mobility and infectious diseases is indirect at best."
The animal-human interface and infectious disease in industrial food animal production: Rethinking biosecurity and biocontainment,10.1177/003335490812300309,7.0,,,no,not mentioned,160.0,avian influenza,Thailand,"['avian influenza', 'biosecurity', 'industrial food animal production']",[],"Yes, this paper should be included because it explores the critical link between industrial animal production practices and the spread of zoonotic diseases like avian influenza, which are profoundly influenced by these practices. While not exclusively focused on human mobility, the industrial scale of operations and the resulting movement of pathogens highlight a significant aspect of mobility’s role in disease spread."
The Tomato Brown Rugose Fruit Virus Movement Protein Gene Is a Novel Microbial Source Tracking Marker,10.1128/aem.00583-23,6.0,,,no,not mentioned,4.0,not specified,"San Francisco Bay Area, United States","['microbial source tracking', 'fecal contamination', 'ToBRFV']",['RT-PCR assays'],"No, this paper should not be included as it primarily deals with microbial source tracking for identifying fecal contamination rather than directly discussing human mobility and infectious diseases."
"Anti-vaccine movements - health care, ignorance or a diversion aimed at destabilizing the health situation? Part 2. Contemporary conditions for the functioning and development of anti-vaccination movements",10.26444/aaem/126014,,,,,,,,,,,
A Municipality-Based Approach Using Commuting Census Data to Characterize the Vulnerability to Influenza-Like Epidemic: The COVID-19 Application in Italy,10.3390/microorganisms8060911,10.0,,,no,not mentioned,9.0,COVID-19,Italy,"['human mobility', 'COVID-19', 'vulnerability mapping']",['Susceptible-Infectious stochastic model'],"Yes, this paper should be included because it provides a detailed analysis of how human mobility influences the spread of COVID-19 in Italy, utilizing high-resolution commuting data and a stochastic model to estimate infection rates. Its focus on detailed geographic vulnerability aligns perfectly with discussions about human mobility's impact on infectious disease spread."
Infectious particle identity determines dissemination and disease outcome for the inhaled human fungal pathogen Cryptococcus,10.1371/journal.ppat.1007777,4.0,,,no,not mentioned,41.0,Cryptococcus,not specified,"['cryptococcosis', 'fungal spores', 'lung phagocytes']",[],"No, this paper should not be included because it focuses on biological interactions of fungal spores with the immune system in mice models, which does not directly address human mobility's impact on infectious diseases. It lacks relevance to the socio-geographic movements and transmissions patterns typically associated with human mobility studies."
Quantifying seasonal population fluxes driving rubella transmission dynamics using mobile phone data,10.1073/pnas.1423542112,,,,,,,,,,,
Vector borne diseases on an urban environment: The effects of heterogeneity and human circulation,10.1016/j.ecocom.2016.12.006,8.0,,,no,not mentioned,9.0,arboviruses,"Rio de Janeiro, Brazil","['human circulation', 'epidemiology', 'vector control']","['Bailey-Dietz model', 'multi-group model', 'next generation matrix']","Yes, this paper should be included because it focuses on the influence of human mobility and spatial heterogeneity in urban environments on arbovirus epidemics, which is highly relevant to discussions on human mobility and infectious diseases."
Contamination prevention in ASEAN aquaculture: a review of prospective challenges and mitigations,10.5004/dwt.2023.30018,3.0,,,no,not mentioned,0.0,aquatic animal diseases,"ASEAN, specifically mentions Brunei Darussalam","['aquaculture', 'pathogen transfer', 'disease mitigation']",[],"No, this paper should not be included because it focuses primarily on aquatic animal diseases in aquaculture settings within ASEAN. Although it discusses the transboundary spread of pathogens due to trade and mobility of aquatic life, it does not directly address human mobility and its impact on the transmission dynamics of human infectious diseases."
"A COMPREHENSIVE REVIEW ON VIRAL ZOONOSIS: EMPHASIZING ON PATHOGENESIS, DIAGNOSIS, TREATMENT, PREVENTION STRATEGIES AND FUTURE PERSPECTIVES",10.13040/IJPSR.0975-8232.11(10).4712-38,,,,,,,,,,,
"Urban life of Galapagos sea lions (Zalophus wollebaeki) on San Cristobal Island, Ecuador: colony trends and threats",10.1016/j.seares.2015.07.004,4.0,,,no,not mentioned,18.0,not specified,"San Cristobal Island, Galapagos","['Galapagos sea lions', 'human interaction', 'disease spread']",[],"No, this paper should not be included as it primarily focuses on the interactions between humans and endangered wildlife, specifically Galapagos sea lions, rather than human mobility and its direct effects on infectious diseases among humans."
The Brain-Nose Interface: A Potential Cerebrospinal Fluid Clearance Site in Humans,10.3389/fphys.2021.769948,2.0,,,no,not mentioned,21.0,neurodegenerative diseases,global,"['cerebrospinal fluid', 'brain-nose interface', 'neurodegenerative disease']",[],"No, this paper should not be included because it primarily focuses on neurodegenerative diseases and the brain-nose interface, which does not closely relate to the specifics of human mobility and infectious disease modeling."
Identifying highly influential travellers for spreading disease on a public transport system,10.1109/WoWMoM49955.2020.00020,8.0,,,no,not mentioned,4.0,novel coronavirus,"Sydney, Australia","['human mobility', 'public transport', 'disease spread']",['simulation of disease spread'],"Yes, this paper should be included because it focuses on the critical aspect of human mobility in spreading infectious diseases within a public transport system, making use of empirical data and simulations to do so."
"Prevalence, genotypes and phylogenetic analysis of human papillomaviruses (HPV) in northeast Iran",10.1016/j.ijid.2020.12.015,,,,,,,,,,,
News on emerging and resurging zoonoses,,7.0,,,no,not mentioned,0.0,zoonoses,global,"['zoonoses', 'emerging diseases', 'animal reservoirs']",[],"Yes, this paper should be included as it explores the significant connection between human and animal mobility and the emergence/resurgence of zoonotic diseases, which is a crucial aspect of infectious disease spread in the context of human mobility."
Descriptive network analysis of a Standardbred horse training facility contact network: Implications for disease transmission,,5.0,,,no,not mentioned,1.0,Infectious respiratory disease,Ontario,"['network analysis', 'disease transmission', 'contact patterns']","['network metrics', 'node centrality measures']","No, this paper should not be included because it focuses specifically on horses within a training facility which limits its relevance to the broader human-focused studies on mobility and infectious disease transmission."
Zoonotic simian foamy virus in Bangladesh reflects diverse patterns of transmission and co-infection,10.1038/emi.2013.60,7.0,,,no,not mentioned,33.0,Simian Foamy Virus (SFV),Bangladesh,"['Simian Foamy Virus', 'retroviral transmission', 'human/NHP interface']",[],"Yes, the paper should be included because it provides insights into the transmission dynamics of a zoonotic virus potentially influenced by human mobility, specifically the facilitated movement of macaques and human interaction with different macaque populations in everyday life. These dynamics are crucial for understanding broader patterns of infectious disease transmission that can be influenced by human mobility."
A diffusion model of Zika virus with human-vector transmission dynamics and control strategy including social distancing study,10.1007/s40435-020-00653-8,,,,,,,,,,,
Epidemiologic Implications of Wartime Population Shifts,10.2105/AJPH.32.10.1089,,,,,,,,,,,
HEPATITIS B VACCINATION COVERAGE OF HEALTHCARE PROFESSIONALS IN GREECE,10.31925/farmacia.2018.4.3,4.0,,,no,not mentioned,3.0,hepatitis B,Greece,"['hepatitis B vaccination', 'healthcare professionals', 'Greece']",[],"No, this paper should not be included because it focuses mainly on vaccination coverage and policy rather than the impact of human mobility on infectious diseases."
Information networks for disease: commonalities in human management networks and within-host signalling networks,10.1007/s10658-012-9963-y,,,,,,,,,,,
The unique multidisciplinarity of diabetes-related foot disease,10.1002/dmrr.3804,1.0,,,no,not mentioned,0.0,diabetes-related foot disease,not specified,"['diabetes', 'multidisciplinary treatment', 'guidelines']",[],"No, this paper should not be included because it focuses on multidisciplinary treatment approaches and guidelines for diabetes-related foot disease without a specific emphasis on human mobility and its impact on infectious diseases."
Vector-borne diseases models with residence times - A Lagrangian perspective,10.1016/j.mbs.2016.09.006,8.0,,,no,not mentioned,33.0,vector-borne diseases,global,"['vector-borne diseases', 'host-vector interactions', 'residence times']",['multi-patch and multi-group model'],"Yes, this paper should be included as it provides a notable analysis on how human mobility, modeled through residence times, affects the spread and prevalence of vector-borne diseases by examining changes in basic reproduction numbers and equilibria. The unique modeling approach makes it a valuable contribution to discussions on human mobility and infectious diseases."
